"","X","HES3","LIN28A","L1TD1","CA14","F11R","VASH2","MTRNR2L11","MYCN","EPCAM","ADD2","H3F3AP4","LRRN1","TRIM71","TDGF1","MTRNR2L12","DPPA4","RP11.641D5.1","SOX2","ZFP42","ADCY2","SERF1B","MTRNR2L2","SEMA6A","MATR3","PCDH1","SCGB3A2","GABRP","RP11.423H2.1","TUBB2B","GCNT2","POU5F1","LIN28B","PKIB","RPL21P75","PTPRZ1","MTRNR2L6","CNTNAP2","IDO1","TPD52","CALB1","ESRP1","MAL2","FAM84B","HHLA1","FOXH1","CTSV","NR6A1","AIF1L","FGFR2","MTRNR2L8","FABP5P7","FGF23","NANOG","DDX47","KRT8","PMEL","NTS","USP44","CLDN10","ZIC2","ABHD12B","OTX2","VRTN","SNURF","GABRB3","SPINT1","MYEF2","RBPMS2","CRABP1","UBE2Q2P6","CLDN6","ZSCAN10","MTRNR2L4","NPIPA7","PRSS8","CDH3","CDH1","MTRNR2L1","RND2","DSG2","FUT3","AP1M2","SPINT2","CYP2S1","NLRP2","RPL41P1","DNMT3B","WFDC2","SALL4","CXADR","CBS","U2AF1","CECR2","MIF","POLR2F","RP11.706O15.1","MAGED4B","MTRNR2L10","SLC7A3","ZIC3"
"212","HPSI1113i-oaaz_3",52.48,875.67,326.24,54.18,160.98,218.07,86.09,49.29,437.32,97.94,909.83,126.18,171.53,550.24,7480.86,637.82,408.55,238.42,121.75,64.29,77.02,347.28,282.2,755.55,73.28,2549.35,1169.17,73.79,333.09,54.54,726.25,96.77,109.99,1438.06,128.39,153.42,66.57,34.53,59.97,857.76,130.9,146.74,87.84,717.49,45.27,68.27,97.55,86.43,59.99,2029.02,102.92,71.68,82.76,69.89,304.03,96.05,68.74,169.56,53.07,200.89,466.47,87.91,44.36,662.6,84.23,72.01,114.76,119.49,153.1,0.27,379.25,124.02,80.9,160.54,70.34,94.19,166.36,605.23,60.56,135.06,259.16,62.01,185.03,118.93,2.07,4054.03,337.85,43.4,82.71,139.22,215.73,224.75,58.35,427.47,74.99,117.87,62.7,106.37,95.21,37.87
"213","HPSI0115i-jotn_4",116,1054.12,317.02,55.85,145.76,90.66,75.83,55.1,288.28,66.04,857.4,244.21,156.09,723.27,5578.34,599.34,485.94,275.96,138.62,46.71,132.05,301.59,166.08,705.41,67.62,2442.36,1238.24,61.38,329.56,43.45,1024.05,86.71,75.98,1004.98,87.87,125.5,65.31,176.72,60.16,855.94,125.06,117.42,41.93,735.63,84.16,127.23,83.17,112.43,90.74,1407.12,198.36,13.97,64.4,80.76,232,119.85,33.09,138.94,57.77,155.79,504.15,169.79,81.93,1057.36,63.42,89.79,75.63,154.83,181.47,1174.99,651.9,134.69,53.04,115.74,85.02,105.25,158.24,495.75,125.39,102.66,245.29,103.62,185.91,168.82,68.13,4106.44,654.58,47.19,131.21,110.7,300.3,235.74,57.49,697.3,105.39,119.25,88.26,89.71,162.88,107.63
"214","HPSI0514i-suul_1",61.65,704.59,326.26,69.97,147.03,58.25,114.52,45.26,450.26,45.28,513.1,201.02,126.9,816.11,9383.13,507.19,293.47,239.55,103.14,29.29,84.97,501.08,151.88,650.54,69.54,3231.58,1499.46,32,204.25,50.74,828.86,76.71,81.92,847.15,125.16,221.3,47.34,66,44,810.57,111.43,101.74,51.32,895.79,59.7,148.84,59.91,66.78,70.11,2322.55,89.59,114.71,87.15,59.67,145.67,131.52,30.11,143.26,57.83,192.44,553.59,92.06,50.44,777.32,66.8,100.53,72.1,111.54,163.1,1267.62,672.12,116.61,92.35,95.56,77.14,125.09,200.45,812.62,73.53,113.92,268.59,76.91,214.91,171.6,45.54,3237.45,386.93,48.5,89.82,109.51,185.42,198.64,36.54,504.63,78.07,92.59,61.62,162.34,155.68,64.58
"215","HPSI1113i-dons_1",6.29,663.98,158.28,37.37,211.09,309.57,80.01,25.26,296.72,76.82,672.77,59.46,125.42,622,4762.72,799.64,382.85,91.95,87.38,48.07,81.54,278.44,316.67,567.38,29.87,11303.46,5695.98,73.59,579.22,99.9,1451.75,59.55,134.5,1190.78,57.76,123.32,30.6,27.97,51.74,3173.38,119.75,85.07,59.69,3318.83,46.33,42.25,43.91,73.32,35.28,1258.51,273.61,0.66,154.91,74.38,334.6,86.22,53.15,98.3,27.57,38.14,2986.97,9.74,32.81,716.29,86.17,133.78,49.93,107.08,93.32,760.45,297.66,85.98,39.91,56.91,72.34,80.77,78.4,477.72,44.38,86.85,729.28,76,273.16,75.94,64.9799999999999,3289.29,322.21,47.71,55.97,100.25,144.53,222.3,45.69,518.73,132.05,68.09,56.62,54.76,169.67,31.73
"216","HPSI0114i-vass_1",86.48,642.47,272.08,86.12,134.84,61.69,33.48,64.51,263.22,69.52,1029.13,167.55,98.25,413.76,2569.53,520.9,443.24,269.97,124.76,37.26,124.98,148.24,103.62,566.58,66.87,485.49,342.75,83.01,341.86,33.9,1150.85,54.28,150.98,1110.58,132.6,34.39,61.81,46.38,41.1,353.27,82.93,100.63,39.31,203.92,38.89,93.48,73.28,104.46,60.43,609.66,96.64,0.96,43.97,77.78,238.44,155.19,36.6,109.48,64.15,189.7,184.13,138.76,83.94,853.25,62.99,86.28,79.33,96.6,247.73,837.64,541.89,140.32,20.51,121.33,84.28,90.67,132.79,244.41,122.41,93.44,89.68,72.29,256.05,98.99,87.2100000000001,3170.37,329,61.79,79.1,80.78,263.77,261.22,35.92,777.08,125.54,57.42,76.82,14.89,94.52,69.76
"217","HPSI0115i-paim_1",69.2,854.14,254.5,81.19,155.01,121.65,76.34,60.34,367.85,67.36,1001.02,173.8,125.82,646.39,5864.03,612.89,578.82,229.82,109.48,46.84,91.11,277.45,175.48,759.97,53.14,1828.19,921.2,66.56,293.16,41.55,797.2,81.68,39.41,1228.42,115.31,114.35,73.07,57,59.25,599.83,122.04,105.92,69.13,547.63,50.94,64.2,83.42,107.2,58.89,1307.26,166.27,27.82,37.9,82.11,320.53,91.22,39.3,126.64,49.58,194.79,342.3,94.04,67.76,766.14,55.82,81.24,92.88,130.35,248.64,1319.58,446.58,123.49,44.46,158.49,60.53,92.02,149.7,518.52,95.63,107.46,184.18,93.67,178.21,121.51,3.24,4218.82,400.53,44.9,88.25,110.21,188.97,239.25,49.59,557.73,97.8,85.44,74.86,75.01,134.63,56.67
"218","HPSI1213i-nusw_2",54.68,419.95,158.09,46.13,42.95,85.88,116.33,53.1,106.8,32.22,240.01,97.86,76.46,154.33,5747.23,245.58,423.77,230.55,77.06,11.83,101.48,294.81,160.99,410.81,18.93,2200.3,984.16,41.22,653.3,19.62,934,27.4,1.13,454.22,68.33,101.45,64.06,15.85,36,585.32,25.28,13.71,20.44,866.91,56.06,100.03,47.51,74.93,46.21,1568.88,108.15,2.33,59.54,63.12,325.87,43.66,90.31,42.31,21.25,198.95,536.13,41.19,58.92,453.12,25.64,25.1,49.2,80.01,1398.58,571.96,456.47,66.38,45.09,114.94,24.5,28.62,27.86,684.91,68.73,44.83,268.79,8.57,147.84,40,62.1,1752.15,254.35,13.54,52.72,45.75,95.57,225.15,23.25,994.72,116.1,46.94,93.12,39.34,20.53,88.78
"219","HPSI1113i-hayt_3",38.05,753.1,317.29,26.43,121.59,123.45,45.06,55.97,373.76,67.82,722.06,124.47,110.23,857.42,3241.51,658.33,420.42,201.51,149.9,85.07,116.12,182.44,131.61,672.14,46.86,1479.62,849.55,74.17,459.54,57.27,1079.68,71.53,34.25,1525.54,102.45,73.47,62.37,63.89,54.73,803.45,107.63,123.69,55.31,552.25,44.82,93.16,68.02,109.17,47.42,805.39,200.06,0.4,68.24,88.13,293.18,91.88,65.19,149.77,60.61,108.34,444.06,43.59,59.33,845.17,65.61,72.02,73.31,98.86,187.48,1672.31,424.59,119.9,26.2,103.2,75.98,95.83,102.33,299.69,76.91,112.89,224.36,77.34,195.89,79.36,45.81,5061.09,516.92,41.91,67.23,90.15,248.41,237.05,36.11,640.98,137.82,48.31,61.22,35.05,158.09,51.87
"220","HPSI0714i-jilk_4",83.35,843.21,371.48,75.7,85.23,81.97,232.51,56.9,290.05,23.88,1484.61,89.5,96.72,460.84,9262.6,420.05,1385.4,439.01,78.82,16.02,122.29,403.86,158.87,470.77,16.37,1157.3,756.26,58.56,351.69,23.47,971.17,34.67,59.31,519.31,125.77,300.13,45.57,79.16,41.11,417.67,141.92,77.64,88.84,907.9,40.5,77.47,32.12,45.94,68.11,3046.8,66.05,148.88,32.5,51.46,184.09,76.46,79.77,123.78,48.1,252.49,370.25,138.46,29.76,676.93,22.25,38.94,82.42,103.34,338.75,1845.36,581.87,111.2,106.88,213.41,41.94,71.14,77.79,1292.65,79.64,49.57,95.96,110.49,148.5,100.73,39.69,1886.87,391.5,59.42,57.81,73.9,141,294.99,20.42,1062.32,99.31,67.48,116.7,262.04,56.1,47.7
"221","HPSI0414i-oikd_5",53.77,942.57,421.46,51.94,132.61,104.88,80.13,64.2,356.45,62.82,986.97,173.81,168.68,700.71,5898.53,566.78,570.11,253.1,110.03,45.49,83.51,321.1,169.57,815.62,62.61,1802.73,838.19,98.05,357.56,43.61,984.9,95.87,100.14,1576.65,157.36,140.35,58.37,115.94,56.01,583.13,130.72,144.98,61.15,555.15,51.38,85.32,96.7,88.06,62.99,1586.45,99.95,81.72,63.11,77.68,205.42,96.43,28.95,154.89,49.07,170.72,330.28,102.3,62.94,857.11,78.53,68.43,75.74,130.38,134,0.85,469.37,147.69,60.44,127.51,58.8,93.39,160.09,484.32,72.36,120.74,225.99,80.95,169.87,127.75,51.84,4967.83,413.83,44.86,87.25,112.53,208.59,264.77,51.89,593.52,87.96,78.14,52.96,83.34,96.1,53.7
"222","HPSI0514i-lako_2",56.47,738.38,446.74,56.47,82.82,98.04,188.01,59.02,429.25,28.38,1298.34,78.55,107.75,546.33,9544.78,495.03,1203.38,318.48,77.37,20.07,120.04,418.99,152.09,547.28,19.19,2864.06,1401.89,55.12,338.78,31.41,1077.9,33.32,29.07,559.5,148.25,286.98,39.24,44.17,50.11,695.76,155.58,77.43,84.46,1586.79,47.19,84.18,39.79,45.01,58.62,2901.87,105.25,115.74,40.64,51.77,249.18,60.31,56.48,121.96,48.09,202.8,794.38,97.12,33.16,711.48,33.96,48.46,77.96,132.97,233.11,796.37,574.35,117.55,110.04,181.49,41.04,80.65,70.09,1165.05,67.95,50.78,184.35,102.32,165.13,102.2,81.2700000000001,2288.25,320.04,45.7,42.87,69.58,122.26,311.44,15.98,829.23,117.97,77.66,101.2,231.56,86.06,42.37
"223","HPSI0614i-kegd_2",89.61,939.02,397.37,67.88,113.3,149.96,71.25,66.28,377.62,50.78,1119.64,97.22,164.43,722.41,6579.1,643.97,405.92,293.37,115.23,33.67,108.01,292.67,266.64,664.34,45.95,6394.63,2781.23,53.23,446.27,55.31,1060.15,62.83,68.25,1411.03,96.87,71.74,45.99,85.27,60.71,1625.65,134.67,100.96,88.41,1715.71,52.15,98.02,65.5,90.51,69.23,1890.9,83.85,71.97,70.36,62.46,261.4,105.61,148.44,151.45,50.1,144.87,1119.75,122.53,55.33,908.1,51.38,78.59,71.39,124.32,162.34,1669.52,491.68,114.36,66.18,127.43,71.24,122.56,116.69,544.64,82.57,100.86,484.68,82.47,215.25,166.69,3.33,4154.82,467.68,78.06,97.07,82.95,233.36,290.97,38.67,431.45,93.01,84.72,73.56,108.16,126.81,84.12
"224","HPSI1013i-garx_2",14.85,628.56,300.31,38.45,161.85,75.46,49.43,45.55,330.32,76.44,294.3,106.76,106.95,707.55,2846.78,626.38,566.07,171.11,121.64,80.03,69.63,208.76,105.03,566.72,43.39,2544.09,1524.04,100.79,308.17,37.18,1368.12,52.92,116.21,1430.86,100.8,44.67,30.63,50.51,65.88,1371.1,97.27,127.45,50.84,869.41,39.89,69.78,68.48,88.41,48.11,843.62,188.82,4.24,74.81,79.91,255.04,83.25,119.6,134.96,58.92,142.03,702.7,28.81,54.51,1049.5,60.91,76.79,68.66,112.89,269.11,1602.07,421.63,108.24,29.65,116.95,94.65,96.24,106.22,308.5,65.72,115.52,279.89,93.79,240.74,91.37,67.77,4002.75,316.08,36.83,48.57,77.3,318.38,212.09,31.23,787.32,139.47,123.79,43.84,13.11,194.63,20.6
"225","HPSI0115i-rakz_6",38.65,959.97,465.42,61.4,214.54,141.15,72.4,68.58,426.33,127.5,1002.8,219.92,136.55,769.14,5040.15,507.46,218.82,173.02,148.3,92.79,74.67,266.01,268.19,563.12,101.39,3090.13,1459.05,59.76,381.68,50,1179.59,45.84,87.13,808.24,142.49,123.92,43.55,55.08,45.53,851.5,104.29,105.98,43.17,887.77,65.51,105.69,145.31,111.87,49.62,1376.46,120.1,16.51,108.86,68.88,265,123.05,116.18,138.43,81.37,173.28,577,61.09,96.46,903.65,84.92,146.53,36.98,224.94,149.73,1101.76,784.2,181.49,57.72,120.58,141.62,165.28,169.97,497.11,88.82,131.46,281.56,104.53,290.22,195.47,27.72,2757.71,480.1,65.73,98.26,85.64,264.07,224.45,49.24,472.17,93.67,91.88,76.74,103.69,267.7,32.1
"226","HPSI0215i-oilg_3",97.55,740.16,300.17,51.96,185.44,247.6,128.96,39.83,310.91,94.66,857.14,76.76,143.61,632.65,11775.6,809.12,352.92,173.39,117.62,90.46,78.45,537.21,336.78,558.59,57.01,9007.68,3140.41,52.24,362.64,72.2,1539.35,93.21,79.67,1598.26,95.26,114.96,45.16,8.65,62.22,1874.85,127.19,73.31,56.71,1837.03,94.32,90.81,40.06,66.43,66.65,3330.09,125.87,47.48,256.96,65.77,321.73,88.84,22.03,95.37,27.48,179.48,1645.47,23.47,40.95,908.27,96.38,90.08,64.65,122.31,298.87,1817.87,489.93,122.43,107.88,55.09,80.18,103.92,158.93,1070.09,78.98,90.86,509.42,86.67,197.04,114.43,26.91,4779.57,297.55,50.98,66.99,99.73,156.05,216.79,46.54,467.48,85.08,33.14,36.4,72.1,48.74,69.24
"227","HPSI0314i-qonc_1",59.35,805.12,359.63,49.8,161.92,143.34,39.18,63.56,298.6,64.98,1296.59,187.71,157.32,987.02,3035.85,680.97,436.49,238.19,128.05,65.99,99.2,155.26,183.78,715.44,47.62,3702.3,2108.09,86.44,492.53,61.27,991.31,83.34,75.07,1271.74,132.98,67.93,52.27,98.14,75.64,1300.69,118.24,143.55,74.28,1165.56,44.09,78.08,80.41,135.94,61.08,707.17,167.14,0.75,65.35,75.85,204.55,112.03,35.51,163.71,64.74,117.51,868.85,49.13,67.43,768.25,85.82,76.85,104.11,125.24,188.23,705.72,451.83,147.43,24.68,142.64,89.11,104.42,136.19,263.55,79.02,129.47,497.87,81.32,195.06,127.44,78.93,3924.29,588.62,45.48,93.04,106.87,277.37,215.72,48.25,506.98,98.96,113.22,59.38,30.86,140.41,77.69
"228","HPSI0514i-lako_1",106.29,790.59,449.65,68.91,95.86,90.66,132.91,76.73,484.72,30.12,1278.74,115.24,117.18,792.82,7579.39,575.69,583.43,336.06,83.23,21.52,103.81,329.16,167.31,602.88,26.01,3237.95,1505.82,53.21,376.97,35.94,1115.87,39.35,17.07,755.58,162.6,216.3,46.21,60.79,63.17,789.31,165.56,81.06,55.5,1380.88,72.08,117.31,42.6,52.2,74.82,2165.66,120.4,87.28,43.56,62.84,267.85,80.52,26.07,146.21,43.96,196.75,737.08,127.37,47.21,813.94,34.07,62.26,87.31,148.98,243.88,898.95,647.55,131.7,91.13,178.92,49.4,94.79,111.41,850.24,113.76,57.74,273.54,106.82,182.6,135.45,91.62,2671.56,421.3,52.17,74.89,83.53,129.13,321.57,22.39,925.51,116.81,104.96,90.24,163.35,70.57,110.02
"229","HPSI0314i-wigw_2",32.61,719.84,254.65,77.47,154.36,113.65,94.97,52.18,340.54,90.38,569.28,88.62,138.94,305.62,8095.71,505.61,352.77,222.06,72.9,45.28,101.91,362.93,302.19,642.81,71.79,1702.42,962.96,66.16,353.45,39.55,696.32,86.56,17.89,1703.22,136.86,98.01,98.36,14.17,54.01,733.65,89.41,90.16,92.61,520.59,43.39,76.81,95.17,87.91,48.86,2417.04,66.27,56.35,81.05,66.19,351.13,117.91,65.43,121.94,34.89,211.9,379.42,76.96,34.8,724.23,57.89,76.03,108.22,92.73,212.76,1.09,315.79,97.64,86.46,124.24,71.06,84.87,128.07,676.54,70.5,93.26,186.52,72.71,188.94,88.89,51.84,4483.9,243.92,40.67,87,110.31,172.14,246.07,52.42,419.53,66.15,75.85,80.94,149.09,72.54,28.06
"230","HPSI0714i-kute_5",110.68,947.95,332.86,60.35,161.94,93.71,89.96,58.5,343.99,70.7,647.96,160.5,208.85,577.38,7012.64,718.16,285.11,321.61,122.48,58.7,91.34,352.55,274.07,757.79,64.07,3095.22,1385.94,38.64,404.46,53.67,786.2,101.62,54.07,1374.84,153.71,152.44,54.92,39.4,77.12,850.41,143.87,132.09,70.73,819.56,63.29,89.64,87.36,89.24,86.31,1881.77,124.95,70.36,49.97,72.07,204.88,133.69,75.68,185.38,56.49,216.26,516.21,107.32,58.55,828.97,73.58,71.13,114.1,110.65,174.78,1468.29,461.79,124.14,78.16,147.39,66.68,104.66,201.74,571.72,83.61,125.86,255.54,87.92,182.33,140.38,8.45999999999999,3945.53,477.45,54.83,112.03,131.79,209,226.95,66.65,517.92,65.04,87.71,59.26,99.02,97.09,85.79
"231","HPSI0514i-rutc_2",97.18,949.99,473.6,59.18,159.63,139.89,36.93,56.96,449.29,72.38,728.62,221.1,193.21,1165.56,4638.32,678.39,248.5,284.95,135.54,40.78,49.97,195.84,163.77,763.22,67.88,7911.73,3826.26,44.65,446.14,62.34,1015.96,85.76,160.01,1515.02,140.94,45.16,43.63,39.98,68.57,2541.2,147.86,116.89,51.18,1919.03,65.92,94.04,110.88,106.23,74.63,1292.77,89.85,55.51,76.66,77.95,269.58,90.89,89.94,174.41,56.29,107.4,1372.32,99.81,78.09,945.32,74.38,91.6,81.64,143.94,174.33,1346.44,549.53,124.56,52.77,122.14,81.26,120.72,177.75,378.92,68.32,152.54,557.89,98.44,204,152.38,53.19,3824.43,464.96,55.19,101,140.77,194.38,256.53,61.24,450.19,91.02,135.53,61.28,27.9,152.72,138.81
"232","HPSI1213i-tolg_6",73.26,842.47,362.15,60.1,167.99,108.24,66.1,60.77,439.45,64.84,732.97,198.47,130.84,715.76,6753.29,577.29,225.03,277.6,114.52,69.53,84.54,324.62,240.24,736.24,87.03,4044.91,1930.74,63.17,344.6,52.42,804.82,74.65,80.83,1190.96,157.96,126.61,57.27,49.39,55.27,1324.5,116.38,109.75,81.59,1000.54,75.08,114.51,75.18,115.3,89.14,1873.12,111.89,59.47,39.79,67.91,218.91,150.69,82.78,134.77,67.76,134.15,745.67,100.63,62.39,821.22,71.4,101.72,88.8,115.23,126.94,1182.57,686.37,154.92,68.84,152.04,99.5,162.77,221.4,564.51,80.04,166.66,371.13,80.87,235.27,209.25,22.86,4224.56,474.46,55.13,108.06,134.4,303.3,214.51,55.75,346.96,85.24,54.72,88.72,109.43,204.71,83.21
"233","HPSI0614i-xubw_3",61.45,705.11,378.26,60.23,114.55,102.95,42.08,40.34,378.5,47.38,754.42,183.26,89.38,864.87,3882.25,554.22,480.81,268.8,136.37,39.98,71.67,218.19,142.83,633.49,58.45,3189.19,1589.5,51.99,343.47,38.44,1071.34,48.18,155.06,831.65,99.54,49.55,47.49,84.59,44.66,930.48,106.44,124.93,42.27,983.8,64.39,88.31,45.38,75.87,61.4,953.68,229.18,100.34,87.76,81.28,225.66,124.95,39.65,123.07,67.48,156.23,586.26,94.15,53.91,1067.38,55.29,100.1,70.74,158.96,211.39,764.18,772.16,125.55,30.18,129.18,93.07,134.1,131.18,361.51,100.68,109.21,302.91,92.86,218.4,157.57,28.17,4491.48,472.74,71.52,73.95,93.27,225.58,247.84,23.31,867.79,137.5,57.76,75.42,18.11,193.09,61.9
"234","HPSI0913i-lise_1",72.21,768.56,321.67,57.28,129.88,95.88,31.55,59.99,297.28,66.06,326.85,107.01,131.87,557.68,2785.76,703.3,363.16,199.92,139.49,49.56,71.98,148.36,111.3,728.58,54.94,1559.51,949.32,68.31,317.06,42.69,991.36,68.47,155.23,1367.08,158.11,30.38,48.59,72.67,48.94,856.74,112.59,113.69,49.14,589.69,43.72,85.05,76.83,93.26,58.94,577.24,138.32,0.62,48.66,82.43,236.44,95.38,138.42,132.82,51.05,147.81,440.42,73.21,62.48,830.72,80.75,72.88,97.5,113.23,168.58,1505.62,467.78,165.93,18.81,164.33,59.51,75.11,135.02,207.75,81.42,99.58,166.18,86.54,176.98,102.94,73.53,4500.95,423.46,33.46,73.05,86.92,233.03,235.72,40.2,580.51,109.37,67.74,60.98,7.62,109.7,66.06
"235","HPSI1014i-roug_3",36.7,727.25,415.82,52.11,208.52,164.1,82.15,26.23,481.74,80.72,535.43,121.31,124.6,751.64,6768.98,902.05,337.22,202.97,101.01,44.1,91.16,321.58,141.22,739.42,62.35,6059.48,2825.06,74.54,365.29,61.61,976.67,84.04,186.7,1408.57,102.03,92.3,31.18,21.71,89.39,1729.35,144.43,189.37,56.57,1635.49,54.24,37.47,97.85,75.87,39.81,1886.66,105.5,71.47,96.72,68.57,330.35,61.68,33.18,149.17,53.77,58.8,919.39,45.27,43.94,723.76,72.41,114.38,99.11,102.31,123.72,826.81,416.01,126.32,81.46,123.99,97.22,110.69,130.89,603.09,47.36,153.6,453.43,102.05,240.73,100.33,59.22,4680.4,271.24,49.48,70.99,130.61,184.79,226.45,57.21,602.53,72.24,75.51,57.02,34.38,71.4,79.71
"236","HPSI0514i-toco_5",49.98,731.63,155.13,64.53,110.75,55.55,76.05,39.08,345.77,46.64,675.57,66.07,70.38,432.75,5711.25,790.02,402.05,161.22,120.85,25.2,69.81,270.06,105.56,595.33,35.02,818.9,429.21,66.85,259.44,48.16,679.260000000001,51.24,122.49,2253.08,84.44,128.9,35.44,37.12,46.43,399.55,111.81,106.51,51.01,270.61,36.56,47.98,46.04,69.19,32.84,1474.92,112.95,61.11,49.86,98.4,206.54,121.86,141.02,137.98,51.98,166.57,224.28,90.33,30.57,955.74,44.55,62.15,70.77,95.59,211.82,1418.47,374.98,75.41,64.61,60.5,46.82,55.56,79.79,513.62,85.49,79.35,76.97,80.36,175.29,73.12,46.62,6009.64,173.64,48.05,45.34,102.57,109.04,188.54,18.87,696.31,109.43,46.75,41.98,104.34,85.4,33.16
"237","HPSI0614i-uilk_2",46.33,710.94,223.29,43.28,137.78,110.47,125.73,49.69,354.23,55.14,932.09,76.23,125.52,451.5,9879.87,596.74,476.7,197.9,120.68,42.59,55.64,220.21,206.81,651.67,38.6,2680.24,1276.02,29.93,310.01,47.61,759.19,52.88,28.36,1590.6,75.95,209.63,54.09,19.33,55.75,925.32,104.92,114.37,74.27,700.99,39.46,95.58,50.45,65.36,46.04,2551.1,177.48,46.01,49.77,70.04,291.03,113.99,17.9,146.78,42.86,136.2,537.41,53.12,33.52,751.92,48.23,71.27,74.13,140.2,168.71,1765.8,337.25,88.73,107.15,118.64,47.61,76.26,132.68,1001.26,74.94,86.62,187.58,82.29,174.79,107.57,43.83,4613.87,265.03,47.75,69.48,97.57,191.3,234.66,36.01,480.82,97.2,57.21,42.06,156.84,86.52,32.5
"238","HPSI1114i-xiby_4",50.09,573.96,247.51,62.22,121.87,60.05,60.8,43.92,284.39,86.86,861.65,158.58,103.89,388.72,4833.15,419.61,207.36,184.72,37.32,26.66,49.83,285.17,144.42,589.01,96.87,596.19,330.06,58.03,480.14,29.34,801.42,51.47,62.25,858.61,346.09,103.05,30.48,22.07,40.43,188.25,76.58,51.6,22.55,169.75,47.04,86.2,103.14,116.81,55.87,1242.16,159.4,10.86,70.25,77.6,142.53,79.63,25.23,108.55,48.9,198.2,109.66,71.74,54.84,649.29,77.84,82.95,73.95,116.06,237.4,966.7,546.28,97.57,48.96,114.57,52.52,98.11,178.85,415.68,121.35,111.82,84.16,50.43,151.47,106.95,103.59,3499.76,302.59,47.11,74.76,109.48,168.08,205.23,52.45,565.12,101.74,156.43,85.12,84.29,113.65,36.94
"239","HPSI0914i-euts_3",99.21,889.75,323.68,60.86,149.1,112.27,78.99,61.2,404.12,59.62,626.73,193.19,180.31,712.85,6791.32,642.38,433.02,310.57,122.84,59.81,86.33,277.22,238.15,744.88,55.41,3395.26,1540.21,60.39,294.5,42.77,841.22,86.8,26.14,1329.83,89.38,133,46.9,73.39,62.14,987.08,138.89,116.05,70.38,992.86,63.38,90.2,61.19,80.92,85.86,1823.97,105.95,78.09,71.97,71.29,240.48,99.7,105.97,156.2,48.44,166.65,584.74,113.43,61.35,909.31,52.64,88.8,82.87,125.81,97.99,722.44,506.77,116,69.42,160.76,74.24,114.38,184.56,588.4,88.02,106.93,264.96,85.93,184.65,142.31,16.47,4436.03,516.8,46.29,95.48,116.08,222.07,235.75,52.82,458.58,85.8,66.4,80.9,104.18,145.86,70.82
"240","HPSI0214i-giju_3",73.77,880.76,282.45,46.34,131.56,121.18,105.89,59.92,342.15,55.56,1054.56,167.3,138,728.73,8365.15,642.49,407.25,235.34,131.3,77.56,78.66,380.54,189.09,679.36,50.04,7684.84,3367.42,46.83,366.03,41.45,902.9,71.09,138.18,1168.36,93.52,106.33,30.74,229.75,67.03,1938.51,126.63,119.44,68.28,2011.69,52.6,93.89,62.29,92.68,59.27,2112.03,152.99,51.35,73.15,68.81,225.46,83.99,29.38,155.37,51.78,83.56,1567.43,51.81,62.02,971.64,65.06,84.98,64.29,147.3,172.98,1228.34,516.12,112.64,98.83,129.52,72.61,55.93,139.96,784.77,66.9,113.04,486.5,79.98,177.66,163.16,93.33,3846.76,466.26,50.24,85.26,109.09,184.37,228.48,41.31,446.75,102.06,132.69,65.38,55.49,177.28,115.68
"241","HPSI0314i-cuhk_2",55.93,742.29,318.7,59.65,123.78,162.57,158.82,47.2,286.55,79.3,841.9,149.11,160.89,501.96,9707.52,722.85,416.64,210.68,80.56,81.54,70.05,452.36,171.08,729.29,51.96,1451.88,846.14,72.19,414.86,38.36,889.44,55.55,70.64,1232.97,202.12,244.2,37.23,25.6,42.24,707.25,104.2,96.32,46.2,536.83,38.44,64.38,87.2,105.82,50.52,2446.61,129.35,0.89,52.67,73.41,251.82,120.48,209.37,117.05,49.5,147.78,408.43,31.83,54.57,768.47,73.82,73.04,102.77,110.29,197.35,1406.6,370.8,134.91,79.06,136.73,61.95,78.29,90.65,915.9,78.98,86.07,138.44,66.13,172.42,79.59,4.23,4625.53,258.8,62.85,63.78,80.46,242.31,253.13,35.44,517.59,110.36,58.14,60.14,113.6,104.29,42.17
"242","HPSI0114i-fikt_3",46.54,851.86,285.73,54.76,140.97,148.84,40.26,60.26,321.47,67.1,1065.2,163.97,139,687.45,2778.44,696.03,441.86,243.69,127.82,85.24,87.73,137.2,129.46,752.18,53.71,2181.33,1302.79,52.17,393.16,54.78,1013.61,74.44,3.1,1394.44,151.94,42.21,43.78,80.39,50.88,971.9,128.31,133.84,74.34,736.16,47.96,105.26,97.23,118.01,62.72,656.5,117.96,0.6,39.03,78.02,239.62,100.29,129.85,151.9,56.51,181.29,575.63,82.32,67.53,859.31,84.72,78.1,103.16,105.8,194.1,792.48,463.98,148.86,21.06,110.41,88.36,100.39,148.86,261.58,93.74,122.96,211.53,96.92,194.54,107.94,45.99,4244.67,383.59,40.33,77.82,109.85,295.84,242.14,42.81,578.01,105.12,48.44,62.46,9.7,166.08,53.46
