"","Gene","ES_MeanTPM","IPS_MeanTPM","ES_Log2","IPS_Log2","Log2FoldChange","ABSV_Log2"
"14045","TCF25",78.9876666666667,59.5985454545455,6.3035554997226,5.89720521599223,-0.406350283730367,0.406350283730367
"14046","KIAA1147",18.4633333333333,13.9313939393939,4.20659113266744,3.80026771239856,-0.406323420268883,0.406323420268883
"14047","HLA.DPA2",0.0166666666666667,0.0125757575757576,-5.90689059560852,-6.31321087778625,-0.406320282177735,0.406320282177735
"14048","SNTN",0.192666666666667,0.255333333333333,-2.37582110288256,-1.96954620345829,0.406274899424278,0.406274899424278
"14049","ANKS1A",18.4796666666667,13.9451515151515,4.20786682876882,3.80169170433212,-0.40617512443669,0.40617512443669
"14050","RP1.265C24.5",0.261333333333333,0.197212121212121,-1.93603694126803,-2.34217986834801,-0.406142927079977,0.406142927079977
"14051","TCF20",31.2446666666667,23.5795757575758,4.96553804369528,4.55946585654908,-0.406072187146205,0.406072187146205
"14052","AC025750.6",0.783333333333333,0.591181818181818,-0.352301743930881,-0.758326194859127,-0.406024450928246,0.406024450928246
"14053","OLA1",206.541666666667,273.653090909091,7.69028904274917,8.09620434163909,0.405915298889917,0.405915298889917
"14054","DNALI1",19.232,14.5155757575758,4.2654368960491,3.85952989221366,-0.405907003835436,0.405907003835436
"14055","INF2",30.771,23.2261818181818,4.94349942421362,4.53768010203788,-0.405819322175744,0.405819322175744
"14056","SLC15A2",2.47966666666667,1.87172727272727,1.31014619695558,0.904370236765356,-0.405775960190223,0.405775960190223
"14057","PDLIM1",236.460666666667,178.502090909091,7.88545641256011,7.47979716333727,-0.405659249222836,0.405659249222836
"14058","C15orf41",9.13033333333333,12.0947575757576,3.19066753157515,3.5963099474828,0.405642415907647,0.405642415907647
"14059","METRNL",11.5733333333333,15.3307575757576,3.5327325419486,3.93835708502063,0.405624543072036,0.405624543072036
"14060","DHRS1",14.2836666666667,10.783,3.83629446660683,3.4306867092483,-0.405607757358527,0.405607757358527
"14061","KRT8P9",0.0153333333333333,0.0115757575757576,-6.02718482932623,-6.43274957598479,-0.405564746658562,0.405564746658562
"14062","GPR20",0.694333333333333,0.524212121212121,-0.526299661342596,-0.93177738179631,-0.405477720453714,0.405477720453714
"14063","PHLDA1",42.1386666666667,31.8145151515152,5.39707276063678,4.99161323018641,-0.405459530450375,0.405459530450375
"14064","ACOT12",0.290333333333333,0.219212121212121,-1.78421787678438,-2.18960052136477,-0.405382644580387,0.405382644580387
"14065","TSC1",20.9016666666667,15.7818787878788,4.38554608005797,3.98019705921272,-0.405349020845254,0.405349020845254
