,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
528,11.74,0.01,2.85,0.0,0.0,0.0,0.04,0.0,0.42,0.66,0.01,0.09,0.28,0.0,0.25,0.07,1.15,0.06,0.0,0.51,0
16,1423.8000000000004,564.7,381.1,75.84,129.66000000000003,76.28999999999998,70.91,39.7,101.73,84.44999999999997,47.62,21.78,26.72,94.38,61.48,59.34,35.16,37.31,27.09,9.39,1
563,18.06,0.09,35.08,0.0,0.1,0.08,0.3,0.0,2.61,2.14,0.0,0.0,0.0,0.01,4.41,0.28,0.45,0.87,0.0,0.01,0
519,63.97,0.01,14.06,0.0,0.03,0.01,0.11,0.0,2.92,1.47,0.35,0.1,0.75,0.0,0.48,0.23,3.3,0.23,0.0,0.45,0
598,48.61,0.02,22.91,0.0,0.04,1.23,2.04,0.0,2.07,2.19,0.0,0.0,0.0,0.06,1.25,0.19,0.82,0.33,0.05,0.01,0
45,1237.0200000000002,570.1,765.72,118.61,124.04,116.35,69.47,31.559999999999995,120.11,47.36,81.59,102.03,59.12,267.05,62.56999999999999,107.4,40.12,47.25,58.96,36.56,1
50,1455.11,722.61,555.1899999999998,122.27,96.57999999999998,155.15999999999997,65.16,39.32,130.69,82.93999999999998,100.63,94.17,64.22,178.41000000000003,53.35,68.41,47.25,34.28,26.19,49.78,1
258,1564.7600000000002,831.76,558.6999999999998,120.22,122.7,84.85,88.92,101.82,71.00999999999998,54.48,46.11,107.01,77.33,35.37000000000001,62.37000000000001,60.43,57.18,48.65,29.42,28.86,1
64,1649.4,943.63,680.62,137.95999999999998,89.91000000000003,104.25,103.56,169.99,35.02,64.98,109.99,114.21,125.53,76.41000000000003,72.38,59.87000000000001,52.25,42.33000000000001,47.01,34.1,1
350,48.79,0.05,29.73,0.0,0.0,0.03,4.82,0.0,2.42,3.92,0.03,0.0,0.0,0.04,3.22,0.13,0.12,0.28,0.0,0.0,0
373,26.82,0.0,8.16,0.0,0.0,0.0,0.24,0.0,0.65,1.39,0.0,0.0,0.0,0.01,0.23,0.02,1.12,0.05,0.0,0.09,0
580,18.3,0.03,6.88,0.0,0.04,0.0,0.13,0.0,0.25,0.85,0.06,0.0,1.1,0.0,0.33,0.27,1.23,0.17,0.0,0.4,0
198,1540.15,656.5799999999998,367.3,80.52,134.54,90.54,81.5,152.10000000000005,72.61999999999998,60.59,58.0,117.97,144.44,33.13,1.61,58.77,60.91,23.21,23.43,27.28,1
287,1764.4699999999998,1011.71,652.72,110.51,96.32,111.32,103.22,152.4,66.64,84.30999999999997,82.78,108.61,121.58,45.35,59.55,68.14,52.15,34.08,45.51,37.7,1
586,28.91,0.0,4.78,0.0,0.03,0.01,0.05,0.0,0.56,0.75,0.0,0.0,0.01,0.0,0.2,0.03,0.27,0.0,0.01,0.23,0
