,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11
114,1565.9499999999996,663.98,533.5500000000002,87.38,85.98,34.22000000000001,55.97000000000001,9.74,122.27,43.91,59.55,6.29,31.73,154.91,37.76,46.33,25.26,17.4,13.82,10.97
115,1605.88,642.47,372.37,124.76,140.32,110.24000000000002,79.1,138.76,66.89,73.28,54.28,86.48,69.76,43.97,51.97,38.89,64.51,14.359999999999998,25.880000000000006,24.65
116,1558.89,854.1400000000001,703.05,109.48,123.49,120.69,88.24999999999999,94.03999999999998,68.85,83.42,81.68,69.2,56.67,37.9,55.87000000000001,50.94,60.34,46.03,21.34,32.26
117,1113.22,419.95,143.26999999999995,77.06,66.38000000000001,94.3,52.72,41.19000000000001,30.4,47.51,27.4,54.68,88.78,59.54,27.07,56.06,53.1,10.78,38.84,24.0
118,1471.8900000000006,753.1,620.2200000000001,149.9,119.9,112.1,67.23,43.59,85.0,68.02,71.53,38.05,51.87,68.24,56.59,44.82,55.97,32.98,21.18,23.58
119,491.57,843.21,562.2699999999999,78.82,111.19999999999996,89.40999999999998,57.81,138.46,30.95,32.12,34.67,83.35,47.7,32.5,37.8,40.5,56.9,33.2,16.71,36.84
120,1705.3899999999994,942.57,788.44,110.03,147.69,137.33,87.24999999999999,102.3,65.82,96.7,95.87,53.77,53.7,63.10999999999999,72.64,51.38,64.2,38.89,39.84,32.49
121,605.81,738.38,675.85,77.37,117.54999999999998,79.30000000000003,42.87,97.12,56.77000000000001,39.79,33.32,56.47,42.37,40.64,43.44,47.19,59.02,34.92,8.489999999999998,23.7
122,1652.3200000000004,939.02,691.7700000000002,115.23,114.36,129.20999999999998,97.07,122.53000000000002,67.0,65.5,62.83,89.61,84.12,70.36000000000001,65.88,52.15,66.28,40.48,16.6,34.48
123,1641.28,628.56,586.99,121.64,108.24,70.97000000000001,48.57,28.81,76.66,68.47999999999999,52.92,14.85,20.6,74.81,62.16,39.89,45.55,27.21,19.26,12.02
124,2061.61,959.97,425.44,148.3,181.49,84.47000000000001,98.26,61.09,113.10000000000002,145.31,45.84,38.65,32.1,108.86,79.09,65.50999999999999,68.58,30.22,27.35,20.28
125,1453.2900000000004,740.16,611.6800000000002,117.62,122.42999999999998,80.88000000000002,66.99000000000001,23.47,135.70999999999998,40.06,93.21,97.55,69.24,256.96000000000004,65.86,94.32,39.83,35.04,39.95,28.07
126,1604.72,805.12,606.71,128.05,147.42999999999995,122.54000000000002,93.04,49.13,82.92000000000002,80.41000000000003,83.34,59.35,77.69,65.35,59.75,44.09,63.56,39.38,24.41,23.26
127,998.2,790.59,698.9400000000003,83.22999999999998,131.7,80.91,74.89,127.37,57.96,42.6,39.35,106.29,110.02,43.56000000000001,56.56999999999999,72.08,76.73,37.66,18.46,29.72
128,1611.57,719.8399999999998,305.1,72.9,97.64,150.57,87.0,76.96,110.41,95.17,86.56,32.61,28.06,81.05000000000003,63.71000000000001,43.39,52.18,48.68,12.77,51.37
