,EEF1A1,NPM1,PTMA,TMSB4X,HNRNPA1,TPT1,PPIA,SCGB3A2,PABPC1,GNB2L1,HSP90AB1,NACA,TUBA1B,HMGA1,NCL,HNRNPA2B1,SET,GABRP,NAP1L1,HNRNPC
73,8920.510000000002,4499.469999999999,3032.5500000000006,3403.75,2927.58,2139.26,2492.45,5451.420000000001,2594.7000000000003,2080.4299999999994,2002.18,2033.1600000000003,1504.45,1905.81,1758.3199999999997,1412.3699999999997,1396.6299999999999,2379.84,1098.6499999999996,979.0899999999999
74,12509.900000000001,4157.2699999999995,5405.040000000001,2829.91,3289.210000000001,2845.34,2807.9999999999995,14002.289999999999,2412.66,2542.55,2117.19,2165.32,1545.26,1603.47,1988.3899999999996,1446.9299999999998,1701.5099999999998,5536.8,1217.7300000000002,1136.77
75,12656.949999999999,4545.86,3437.230000000001,4821.5599999999995,1795.85,4411.280000000001,3762.74,510.31,1446.0800000000002,1975.48,1137.1,1656.46,1805.5299999999997,920.16,610.8699999999999,645.3999999999999,667.93,285.96999999999997,1083.9800000000002,1513.7599999999998
76,13173.010000000004,5477.14,4678.629999999998,7047.41,3696.8099999999995,2969.22,2735.5400000000004,1962.27,2419.9099999999994,2144.7599999999998,2032.06,1953.1599999999999,1675.67,1518.61,1802.5499999999997,1853.2800000000002,1633.09,958.4300000000001,1411.41,1185.1399999999996
77,12157.67,5303.77,4700.580000000002,2506.16,3243.06,3062.859999999999,2747.9999999999995,3545.73,2855.4399999999996,2025.2500000000005,2051.7200000000003,1791.0799999999997,1754.49,1802.11,1627.8600000000001,1615.2499999999998,1475.78,1650.5700000000002,1424.0300000000002,1127.4800000000002
78,13075.57,4097.91,3443.07,3530.9700000000003,3238.3500000000004,3443.0099999999993,2910.8199999999997,305.0,1805.18,2569.06,1860.01,1872.89,2144.92,1695.45,1085.45,1363.9999999999998,941.5699999999999,217.42999999999998,1015.1900000000002,1289.19
79,12296.47,4337.150000000001,3737.1000000000004,2801.77,3095.9100000000003,2878.56,3116.7900000000004,1242.26,1730.6299999999997,2471.48,2117.95,1976.56,2123.37,1834.96,1343.8400000000001,1560.48,1091.4500000000003,718.3600000000001,1008.6700000000001,1430.8200000000002
80,12676.119999999999,6044.919999999999,4821.290000000001,2450.0299999999997,3582.4100000000003,3009.91,3093.359999999999,1896.97,2169.4900000000002,2023.64,2240.64,1805.09,1779.4300000000003,1641.5700000000002,1879.4400000000003,1990.38,1480.76,1128.2700000000002,1322.19,1430.3199999999997
81,15155.529999999999,5127.19,3117.6499999999996,5702.87,2774.13,4406.06,3453.92,1425.04,2269.28,2414.91,1489.8600000000001,2165.530000000001,2081.69,1574.85,1223.7600000000002,996.47,1052.17,694.8699999999999,1192.96,1251.24
82,13177.22,4130.4800000000005,6165.5,8636.23,3182.6000000000004,3234.05,2577.5,5105.15,2024.27,2348.5400000000004,1699.0500000000002,2149.1400000000003,1727.1499999999999,1345.2,1228.2600000000002,1444.06,1480.6599999999999,1879.7099999999998,1305.24,1293.0900000000001
83,13562.58,4582.55,4359.65,6593.71,3456.62,3220.14,2448.41,2574.7,2707.2300000000005,2324.7000000000007,2009.21,1967.3,1780.6700000000003,1798.4699999999998,1580.4399999999998,1450.6599999999999,1615.0299999999997,1221.94,1324.42,1127.7799999999997
84,12187.43,4206.53,5664.54,5898.84,2777.4199999999996,2639.58,2090.38,2992.1600000000003,2301.9100000000003,1929.9299999999998,1576.5400000000002,1722.4299999999998,1528.4399999999998,1418.25,1359.9499999999998,1199.0,1381.47,1302.85,1250.3500000000004,1039.1599999999999
85,13866.429999999998,5055.989999999999,4527.269999999999,2910.3,3281.1299999999997,3233.8900000000003,2883.0999999999995,3973.5699999999997,2879.9300000000003,2285.48,1938.34,1767.0999999999997,1667.8000000000002,1707.8700000000001,1642.4200000000003,1763.1800000000003,1526.6299999999997,1624.11,1377.8300000000002,1256.44
86,12519.8,5259.23,4720.36,5620.580000000001,3253.8,3049.21,3105.32,3189.8399999999997,2321.1,2242.0299999999993,1906.1100000000001,2049.9900000000002,1837.8899999999999,1635.1299999999997,1604.4,1680.1699999999998,1513.71,1494.05,1461.37,1284.5200000000004
87,9945.3,4162.41,2865.9300000000003,8328.33,2941.1800000000003,2935.23,2676.28,6516.76,1815.38,2159.3500000000013,1573.1599999999999,1620.03,1786.42,1381.85,1204.6399999999999,1303.52,912.2799999999999,3737.4799999999996,968.6200000000001,1223.26
88,14485.370000000003,5575.88,4883.450000000001,4487.790000000001,3656.93,3460.8,3451.7799999999997,2192.04,2370.58,2694.3999999999996,2210.52,2173.8,2100.93,1901.12,1831.42,1957.58,1863.9599999999996,951.9699999999999,1338.5699999999997,1430.4699999999996
89,13216.17,5537.139999999999,4492.510000000001,2916.93,3583.07,3136.32,2758.1800000000007,583.37,2096.7999999999997,2148.5800000000004,2036.67,1956.1599999999999,1729.3,1545.8999999999999,1677.6599999999999,1647.7299999999998,1363.83,415.3,1289.75,1299.54
90,13664.810000000001,4725.630000000001,4696.379999999999,2927.46,3646.560000000001,2915.29,2920.6299999999997,3780.98,2245.560000000001,2462.270000000001,1940.65,2035.2999999999997,1693.13,1679.55,1858.59,1770.4,1644.9099999999996,1753.3,1329.33,1178.5700000000002
91,13675.34,4034.04,4527.010000000001,4411.400000000001,3894.0399999999995,3029.82,2435.2099999999996,872.8299999999999,2263.53,2479.52,2032.99,1982.4799999999998,1974.2800000000002,1683.1699999999998,1770.3300000000002,1822.21,1664.98,514.08,1411.9199999999998,1101.8799999999997
92,11860.84,5776.52,4556.21,4049.96,3143.5900000000006,3148.38,3259.9999999999995,1960.12,2133.15,1982.3299999999995,2068.07,1652.8300000000002,1949.91,1683.6699999999998,1870.01,2044.78,1343.2900000000002,1318.0600000000002,1212.4299999999998,1524.43
93,13138.55,4432.1399999999985,3442.3500000000004,3026.9500000000003,3236.2599999999998,2631.84,2934.1800000000007,1293.11,2394.58,2775.2299999999996,2315.85,1688.6200000000001,1961.7999999999997,2007.6399999999999,1406.88,1426.88,938.8399999999999,803.2199999999999,1006.3499999999998,1272.4999999999998
94,12535.49,4457.17,3592.8700000000003,3036.8,2828.8100000000004,2792.87,2935.38,2861.6200000000003,2438.75,2293.9400000000005,2249.07,1487.7599999999995,1995.99,1836.4700000000003,1410.2199999999998,1558.02,961.4399999999999,1620.8100000000002,1023.3399999999998,1289.82
95,16734.5,5476.999999999999,5559.150000000001,6065.490000000001,3670.0699999999997,3009.7,2569.88,1148.0,2900.74,2484.0,2133.91,1978.1999999999994,1677.9799999999998,1863.6299999999999,1516.25,1494.8999999999999,1580.5500000000002,644.83,1526.9399999999998,1247.94
96,15226.14,5012.879999999999,4977.41,5237.5,3415.5,2903.6199999999994,2828.4100000000008,3582.8,2587.0200000000004,2204.8200000000006,1999.1100000000001,1712.9299999999996,1799.06,1758.99,1489.23,1590.5,1434.7000000000003,1469.42,1325.4099999999999,1214.5800000000002
