,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
194,1836.4700000000007,801.27,530.4099999999999,120.83,139.47000000000003,97.51,70.11,47.89000000000001,99.28,80.65,61.48,39.58,52.38,91.18,56.12,48.88,66.26,22.26,23.45,20.44,1
84,1538.0,0.0,18.02,0.0,0.0,35.06,0.13,0.0,16.47,0.31,0.0,0.06,0.0,0.02,1.78,0.28,0.0,0.49,0.0,0.04,0
267,1572.3100000000004,898.32,803.5100000000001,128.49,113.64,100.61,87.39999999999998,106.23,63.46000000000001,78.05,81.56,86.93,76.49,65.74000000000001,68.27000000000001,49.23,53.21,49.09,21.54,31.84,1
39,356.1,0.0,16.25,0.03,0.0,5.06,0.31,0.0,7.32,0.18,0.0,0.0,0.02,0.03,1.75,0.19,0.0,0.08,0.0,0.33,0
142,1333.62,637.11,917.69,146.54000000000005,112.14,100.26999999999998,70.71000000000002,54.73,87.98,50.19,66.08,62.24,40.42,153.14,59.68000000000001,72.97999999999998,52.49,34.35,47.87000000000001,22.61,1
327,1763.6799999999996,986.0,695.47,155.29000000000005,126.36,112.45000000000002,135.86999999999998,206.39,61.47,97.91,99.15,134.01,132.94,60.03,78.25999999999998,71.85,65.62,52.66,46.98,49.8,1
317,1678.91,1037.83,1032.31,178.57,146.03000000000003,106.63,110.99,105.63,69.23000000000002,78.85000000000002,102.08,95.45,101.84,67.87,70.58,68.32000000000001,70.23,42.42,58.49,36.54,1
294,2173.4800000000005,985.83,1223.38,222.03,194.7,100.4,113.52,38.74999999999999,106.85,70.59,114.59,26.42,65.9,155.09999999999997,79.67,61.89999999999999,109.85,28.14,52.75,30.45,1
208,1826.68,1112.83,747.4700000000001,130.96,131.27,131.48,113.25,158.35000000000005,60.68000000000001,83.89000000000001,92.31,109.13,92.47,39.15,71.46000000000002,65.45,64.16,49.69,48.23,45.06,1
424,1460.9,802.78,648.93,138.12,130.59,98.39,68.49000000000001,38.71999999999999,79.33,63.81,70.92,50.67,61.31,66.57,61.66,40.81,56.99,38.67000000000001,21.69,17.48,1
300,1601.6999999999996,883.01,748.9599999999997,117.27,120.9,116.54,98.85,122.69,60.17,86.12,84.6,69.38,61.22000000000001,32.46,63.18,52.49,62.95,51.71,21.07,39.06,1
108,1363.7399999999998,765.97,833.7799999999999,86.99,111.35,152.04999999999995,72.38,48.21,124.96,64.31,116.7,191.42,83.85,182.81,64.97,79.53,39.4,61.7,41.64,52.57,1
